LLT	PT
Respiratory syncytial virus pneumonitis	Pneumonia respiratory syncytial viral
Respiratory syncytial virus serology	Respiratory syncytial virus test
Respiratory syncytial virus serology negative	Respiratory syncytial virus test negative
Respiratory syncytial virus serology positive	Respiratory syncytial virus test positive
Respiratory syncytial virus test	Respiratory syncytial virus test
Respiratory syncytial virus test negative	Respiratory syncytial virus test negative
Respiratory syncytial virus test positive	Respiratory syncytial virus test positive
Respiratory system disorder	Respiratory disorder
Respiratory system immature	Immature respiratory system
Respiratory therapy	Respiratory therapy
Respiratory tract bleeding	Respiratory tract haemorrhage
Respiratory tract carcinoma in situ	Respiratory tract carcinoma in situ
Respiratory tract chlamydial infection	Respiratory tract chlamydial infection
Respiratory tract congestion	Respiratory tract congestion
Respiratory tract disorder	Respiratory disorder
Respiratory tract edema	Respiratory tract oedema
Respiratory tract haemorrhage	Respiratory tract haemorrhage
Respiratory tract haemorrhage NOS	Respiratory tract haemorrhage
Respiratory tract haemorrhage neonatal	Respiratory tract haemorrhage neonatal
Respiratory tract hemorrhage	Respiratory tract haemorrhage
Respiratory tract hemorrhage neonatal	Respiratory tract haemorrhage neonatal
Respiratory tract infection	Respiratory tract infection
Respiratory tract infection NOS	Respiratory tract infection
Respiratory tract infection bacterial	Respiratory tract infection bacterial
Respiratory tract infection fungal	Respiratory tract infection fungal
Respiratory tract infection viral	Respiratory tract infection viral
Respiratory tract infection viral NOS	Respiratory tract infection viral
Respiratory tract inflammation	Respiratory tract inflammation
Respiratory tract irritation	Respiratory tract irritation
Respiratory tract malformation	Respiratory tract malformation
Respiratory tract malformation NOS	Respiratory tract malformation
Respiratory tract neoplasm	Respiratory tract neoplasm
Respiratory tract neoplasm NOS	Respiratory tract neoplasm
Respiratory tract oedema	Respiratory tract oedema
Respiratory tract operation	Respiratory tract operation
Respiratory tract procedural complication	Respiratory tract procedural complication
Respiratory tract ulceration	Respiratory tract ulceration
Respiratory viral panel	Respiratory viral panel
Respirovirus test	Respirovirus test
Respirovirus test positive	Respirovirus test positive
Respite care	Respite care
Responses voluntary reduced	Hypokinesia
Restenosis	Restenosis
Resting tremor	Resting tremor
Restless	Restlessness
Restless arm syndrome	Restless arm syndrome
Restless arms	Restless arm syndrome
Restless genital syndrome	Persistent genital arousal disorder
Restless leg syndrome	Restless legs syndrome
Restless legs	Restless legs syndrome
Restless legs syndrome	Restless legs syndrome
Restlessness	Restlessness
Restlessness (drug related)	Restlessness
Restlessness (phenothiazine)	Restlessness
Restlessness aggravated	Restlessness
Restlessness marked	Restlessness
Restricted affect	Constricted affect
Restriction endonuclease assay	Restriction endonuclease assay
Restriction fragment-length polymorphism analysis	Restriction fragment-length polymorphism analysis
Restrictive allograft syndrome	Restrictive allograft syndrome
Restrictive cardiomyopathy	Restrictive cardiomyopathy
Restrictive pulmonary disease	Restrictive pulmonary disease
Restrictive respiratory insufficiency	Respiratory failure
Resuscitation	Resuscitation
Ret-He	Reticulocyte haemoglobin equivalent
Retained (old) intraocular foreign body, magnetic	Foreign body in eye
Retained (old) intraocular foreign body, non-magnetic	Foreign body in eye
Retained absorbable device	Absorbable device issue
Retained deciduous tooth	Retained deciduous tooth
Retained dental root	Tooth disorder
Retained foreign body in eye	Foreign body in eye
Retained foreign body of eyelid	Foreign body in eye
Retained foreign body of middle ear	Foreign body in ear
Retained lens fragments	Cataract operation complication
Retained ovarian follicle	Ovarian cyst
Retained placenta	Retained placenta or membranes
Retained placenta operation	Retained placenta operation
Retained placenta or membranes	Retained placenta or membranes
Retained placenta or membranes, without haemorrhage	Retained placenta or membranes
Retained placenta or membranes, without hemorrhage	Retained placenta or membranes
Retained placenta without haemorrhage	Retained placenta or membranes
Retained placenta without hemorrhage	Retained placenta or membranes
Retained products of conception	Retained products of conception
Retained surgical foreign body	Iatrogenic injury
Retained suture material	Suture related complication
Retained tampon	Foreign body in reproductive tract
Retardation mental	Intellectual disability
Retching	Retching
Retching reflex decreased	Hyporeflexia
Retention carbon dioxide	Hypercapnia
Retention cyst	Retention cyst
Retention electrolyte blood	Electrolyte imbalance
Retention gastric	Impaired gastric emptying
Retention of urine	Urinary retention
Retention sulfobromophthalein	Bromosulphthalein test abnormal
Retention urinary	Urinary retention
Retention urine	Urinary retention
Retention water	Fluid retention
Retention with overflow	Urinary retention
Reticular cell count	Reticular cell count
Reticular erythematous mucinosis	Reticular erythematous mucinosis
Reticular pseudodrusen	Retinal drusen
Reticulin increased	Reticulin increased
Reticulocyte count	Reticulocyte count
Reticulocyte count abnormal	Reticulocyte count abnormal
Reticulocyte count abnormal NOS	Reticulocyte count abnormal
Reticulocyte count decreased	Reticulocyte count decreased
Reticulocyte count high	Reticulocyte count increased
Reticulocyte count increased	Reticulocyte count increased
Reticulocyte count low	Reticulocyte count decreased
Reticulocyte count normal	Reticulocyte count normal
Reticulocyte haemoglobin equivalent	Reticulocyte haemoglobin equivalent
Reticulocyte hemoglobin equivalent	Reticulocyte haemoglobin equivalent
Reticulocyte percentage	Reticulocyte percentage
Reticulocyte percentage abnormal	Reticulocyte percentage abnormal
Reticulocyte percentage decreased	Reticulocyte percentage decreased
Reticulocyte percentage increased	Reticulocyte percentage increased
Reticulocyte percentage normal	Reticulocyte percentage normal
Reticulocytopenia	Reticulocytopenia
Reticulocytosis	Reticulocytosis
Reticuloendothelial dysfunction	Reticuloendothelial dysfunction
Reticuloendothelial hyperplasia	Reticuloendothelial system stimulated
Reticuloendothelial system stimul	Reticuloendothelial system stimulated
Reticuloendothelial system stimulated	Reticuloendothelial system stimulated
Reticuloendotheliosis	Reticuloendothelial system stimulated
Reticulosarcoma	Diffuse large B-cell lymphoma
Reticulosarcoma involving intra-abdominal lymph nodes	Diffuse large B-cell lymphoma stage I
Reticulosarcoma involving intrapelvic lymph nodes	Diffuse large B-cell lymphoma stage I
Reticulosarcoma involving intrathoracic lymph nodes	Diffuse large B-cell lymphoma stage I
Reticulosarcoma involving lymph nodes of axilla and upper limb	Diffuse large B-cell lymphoma stage II
Reticulosarcoma involving lymph nodes of head, face, and neck	Diffuse large B-cell lymphoma stage II
Reticulosarcoma involving lymph nodes of inguinal region and lower limb	Diffuse large B-cell lymphoma stage II
Reticulosarcoma involving lymph nodes of multiple sites	Diffuse large B-cell lymphoma stage III
Reticulosarcoma involving spleen	Diffuse large B-cell lymphoma stage III
Reticulosarcoma recurrent	Diffuse large B-cell lymphoma recurrent
Reticulosarcoma refractory	Diffuse large B-cell lymphoma refractory
Reticulosarcoma stage I	Diffuse large B-cell lymphoma stage I
Reticulosarcoma stage II	Diffuse large B-cell lymphoma stage II
Reticulosarcoma stage III	Diffuse large B-cell lymphoma stage III
Reticulosarcoma stage IV	Diffuse large B-cell lymphoma stage IV
Reticulum cell count	Reticular cell count
Retiform parapsoriasis	Parapsoriasis
Retiform purpura	Purpura
Retina normal	Fundoscopy normal
Retinaculotomy	Carpal tunnel decompression
Retinal AV nipping	Retinopathy
Retinal aneurysm	Retinal aneurysm
Retinal aneurysm rupture	Retinal aneurysm rupture
Retinal angiomatous proliferation	Macular degeneration
Retinal angiopathy	Retinal vascular disorder
Retinal angiosclerosis	Arteriosclerotic retinopathy
Retinal anomaly congenital	Retinal anomaly congenital
Retinal arterial branch occlusion	Retinal artery occlusion
Retinal arterial nipping	Retinopathy
Retinal arterial occlusive vasculitis	Retinal occlusive vasculitis
Retinal arteriosclerosis	Arteriosclerotic retinopathy
Retinal arteriovenous malformation	Retinal arteriovenous malformation
Retinal arteriovenous nicking	Retinopathy
Retinal artery embolism	Retinal artery embolism
Retinal artery narrowing	Retinal artery stenosis
Retinal artery occlusion	Retinal artery occlusion
Retinal artery platelet emboli to eye	Retinal artery embolism
Retinal artery spasm	Retinal artery spasm
Retinal artery stenosis	Retinal artery stenosis
Retinal artery thrombosis	Retinal artery thrombosis
Retinal atheromatous plaque	Arteriosclerotic retinopathy
Retinal atrophy	Retinal degeneration
Retinal biopsy	Biopsy retina
Retinal biopsy abnormal	Biopsy retina abnormal
Retinal biopsy normal	Biopsy retina normal
Retinal bleeding	Retinal haemorrhage
Retinal blister	Retinal disorder
Retinal blot haemorrhages	Retinal haemorrhage
Retinal blot hemorrhages	Retinal haemorrhage
Retinal break	Retinal tear
Retinal capillary closure	Retinal vascular disorder
Retinal capillary dilatation	Retinal vascular disorder
Retinal collateral vessels	Retinal collateral vessels
Retinal coloboma	Retinal coloboma
Retinal cryoablation	Retinal cryoablation
Retinal cyst	Retinal cyst
Retinal cyst excision	Retinal cyst excision
Retinal damage	Retinal injury
Retinal damage NOS	Retinal injury
Retinal defect, unspecified	Retinal disorder
Retinal degeneration	Retinal degeneration
Retinal depigmentation	Retinal depigmentation
Retinal deposits	Retinal deposits
Retinal detachment	Retinal detachment
Retinal detachments and defects, unspecified	Retinal detachment
Retinal disorder	Retinal disorder
Retinal disorder NOS	Retinal disorder
Retinal dot and blot haemorrhages	Retinal haemorrhage
Retinal dot and blot hemorrhages	Retinal haemorrhage
Retinal dot haemorrhages	Retinal haemorrhage
Retinal dot hemorrhages	Retinal haemorrhage
Retinal drusen	Retinal drusen
Retinal dystrophy	Retinal dystrophy
Retinal edema	Retinal oedema
Retinal edema (excl papilledema)	Retinal oedema
Retinal edema opacity	Retinal oedema
Retinal exudates	Retinal exudates
Retinal exudates hard	Retinal exudates
Retinal exudates soft	Retinal exudates
Retinal fibrosis	Retinal fibrosis
Retinal fovea disorder	Retinal fovea disorder
Retinal function test abnormal	Retinal function test abnormal
Retinal function test normal	Retinal function test normal
Retinal gliosis	Retinal degeneration
Retinal haemorrhage	Retinal haemorrhage
Retinal haemorrhage spotted	Retinal haemorrhage
Retinal hemorrhage	Retinal haemorrhage
Retinal hemorrhage spotted	Retinal haemorrhage
Retinal hole	Retinal tear
Retinal immaturity	Retinopathy of prematurity
Retinal implant	Retinal implant
Retinal infarction	Retinal infarction
Retinal infiltrates	Retinal infiltrates
Retinal injury	Retinal injury
Retinal ischaemia	Retinal ischaemia
Retinal ischemia	Retinal ischaemia
Retinal laser coagulation	Retinal laser coagulation
Retinal laser photocoagulation	Retinal laser coagulation
Retinal layer separation	Retinoschisis
Retinal layer separation, unspecified	Retinoschisis
Retinal macroaneurysm	Retinal aneurysm
Retinal macula lutea degeneration	Macular degeneration
Retinal macula lutea opacity	Macular opacity
Retinal melanocytoma	Retinal melanocytoma
Retinal melanoma	Retinal melanoma
Retinal microaneurysms	Retinal aneurysm
Retinal microaneurysms NOS	Retinal aneurysm
Retinal microcirculation disorder	Retinal vascular disorder
Retinal microvascular aneurysm	Retinal aneurysm
Retinal migraine	Retinal migraine
Retinal naevus	Eye naevus
Retinal necrosis	Necrotising retinitis
Retinal neoplasm	Retinal neoplasm
Retinal neovascularisation	Retinal neovascularisation
Retinal neovascularization NOS	Retinal neovascularisation
Retinal nerve fiber bundle defects	Retinal disorder
Retinal nerve fiber layer hemorrhage	Retinal haemorrhage
Retinal nerve fibre layer haemorrhage	Retinal haemorrhage
Retinal nevus	Eye naevus
Retinal nonperfusion	Retinal ischaemia
Retinal occlusive vasculitis	Retinal occlusive vasculitis
